Entry,Film,Director,Leading actors,Year of cinema release,No of Oscars won,IMDB link,Country,Category
66,This Is Spinal Tap,Rob Reiner,"Christopher Guest, Harry Shearer, Michael McKean, Rob Reiner",1984,,http://www.imdb.com/title/tt0088258/,USA,Comedy
67,Bringing Up Baby,Howard Hawkes,"Cary Grant, Katharine Hepburn, Katherine Hepburn",1938,,http://www.imdb.com/title/tt0029947/,USA,Comedy
68,ThereÍs Something About Mary,Peter & Bob Farrelly,"Ben Stiller, Cameron Diaz, Lee Evans, Matt Dillon",1998,,http://www.imdb.com/title/tt0129387/,USA,Comedy
69,Dazed and Confused,Richard Linklater,"Adam Goldberg, Jason London, Joey Lauren Adams, Joey Lauren Adams, Milla Jovovich, Rory Cochrane, Shawn Andrew",1993,,http://www.imdb.com/title/tt0106677/,USA,Comedy
70,MASH,Robert Altman,"Donald Sutherland, Elliott Gould, Sally Kellerman",1970,1,http://www.imdb.com/title/tt0066026/,USA,Comedy
71,Groundhog Day,Harold Ramis,"Andie MacDowell, Bill Murray, Chris Elliott, Stephen Tobolowsky",1993,,http://www.imdb.com/title/tt0107048/,USA,Comedy
72,Clueless,Amy Heckerling,"Alicia Silverstone, Dan Hedaya, Stacey Dash",1995,,http://www.imdb.com/title/tt0112697/,USA,Comedy
73,The Great Dictator,Charlie Chaplin,"Charlie Chaplin, Jack Oakie, Paulette Goddard",1940,,http://www.imdb.com/title/tt0032553/,USA,Comedy
74,Clerks,Kevin Smith,"Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti",1994,,http://www.imdb.com/title/tt0109445/,USA,Comedy
75,The Jerk,Carl Reiner,Steve Martin,1979,,http://www.imdb.com/title/tt0079367/,USA,Comedy
76,Shaun of the Dead,Edgar Wright,"Dylan Moran, Kate Ashfield, Nick Frost, Simon Pegg",2004,,http://www.imdb.com/title/tt0365748/,UK,Comedy
77,Apocalypse Now,Francis Coppola,"Dennis Hopper, Frederic Forrest, Laurence Fishburne, Marlon Brando, Martin Sheen, Robert Duvall, Rpobert Duvall",1979,2,http://www.imdb.com/title/tt0078788/,USA,Action
